"","X","cat_pais","ncat_eleccion","cat_ballotage","n_debates_año_pais","debates_dico","cols_18"
"100",100,"Bolivia",2005,1,1,TRUE,"#8DD7BF"
"101",101,"Bolivia",2009,1,0,FALSE,"#8DD7BF"
"102",102,"Bolivia",2014,1,1,TRUE,"#8DD7BF"
"103",103,"Bolivia",2019,1,0,FALSE,"#8DD7BF"
"104",104,"Bolivia",2020,1,2,TRUE,"#8DD7BF"
"105",105,"Mexico",1982,1,0,FALSE,"#00CDAC"
"106",106,"Mexico",1988,1,0,FALSE,"#00CDAC"
"107",107,"Mexico",1994,1,1,TRUE,"#00CDAC"
"108",108,"Mexico",2000,1,2,TRUE,"#00CDAC"
"109",109,"Mexico",2006,1,2,TRUE,"#00CDAC"
"110",110,"Mexico",2012,1,3,TRUE,"#00CDAC"
"111",111,"Mexico",2018,1,3,TRUE,"#00CDAC"
"112",112,"Guatemala",1966,1,0,FALSE,"#FFD872"
"113",113,"Guatemala",1970,1,0,FALSE,"#FFD872"
"114",114,"Guatemala",1974,1,0,FALSE,"#FFD872"
"115",115,"Guatemala",1978,1,0,FALSE,"#FFD872"
"116",116,"Guatemala",1982,1,0,FALSE,"#FFD872"
"117",117,"Guatemala",1985,2,1,TRUE,"#FFD872"
"118",118,"Guatemala",1991,2,0,FALSE,"#FFD872"
"119",119,"Guatemala",1995,2,2,TRUE,"#FFD872"
"120",120,"Guatemala",1999,2,1,TRUE,"#FFD872"
"121",121,"Guatemala",2003,2,2,TRUE,"#FFD872"
"122",122,"Guatemala",2007,2,1,TRUE,"#FFD872"
"123",123,"Guatemala",2011,2,7,TRUE,"#FFD872"
"124",124,"Guatemala",2015,2,7,TRUE,"#FFD872"
"125",125,"Guatemala",2019,2,4,TRUE,"#FFD872"
"126",126,"Honduras",1981,1,0,FALSE,"#FC6238"
"127",127,"Honduras",1985,1,0,FALSE,"#FC6238"
"128",128,"Honduras",1989,1,0,FALSE,"#FC6238"
"129",129,"Honduras",1993,1,1,TRUE,"#FC6238"
"130",130,"Honduras",1997,1,1,TRUE,"#FC6238"
"131",131,"Honduras",2001,1,1,TRUE,"#FC6238"
"132",132,"Honduras",2005,1,0,FALSE,"#FC6238"
"133",133,"Honduras",2009,1,1,TRUE,"#FC6238"
"134",134,"Honduras",2013,1,1,TRUE,"#FC6238"
"135",135,"Honduras",2017,1,1,TRUE,"#FC6238"
"136",136,"Colombia",1974,1,0,FALSE,"#FFBF65"
"137",137,"Colombia",1978,1,0,FALSE,"#FFBF65"
"138",138,"Colombia",1982,1,0,FALSE,"#FFBF65"
"139",139,"Colombia",1986,1,2,TRUE,"#FFBF65"
"140",140,"Colombia",1990,1,0,FALSE,"#FFBF65"
"141",141,"Colombia",1994,2,2,TRUE,"#FFBF65"
"142",142,"Colombia",1998,2,2,TRUE,"#FFBF65"
"143",143,"Colombia",2002,1,2,TRUE,"#FFBF65"
"144",144,"Colombia",2006,1,4,TRUE,"#FFBF65"
"145",145,"Colombia",2010,2,7,TRUE,"#FFBF65"
"146",146,"Colombia",2014,2,10,TRUE,"#FFBF65"
"147",147,"Colombia",2018,1,16,TRUE,"#FFBF65"
"148",148,"Costa Rica",1962,1,0,FALSE,"#6C88C4"
"149",149,"Costa Rica",1966,1,0,FALSE,"#6C88C4"
"150",150,"Costa Rica",1970,1,0,FALSE,"#6C88C4"
"151",151,"Costa Rica",1974,1,0,FALSE,"#6C88C4"
"152",152,"Costa Rica",1978,1,1,TRUE,"#6C88C4"
"153",153,"Costa Rica",1982,1,1,TRUE,"#6C88C4"
"154",154,"Costa Rica",1986,1,1,TRUE,"#6C88C4"
"155",155,"Costa Rica",1990,1,1,TRUE,"#6C88C4"
"156",156,"Costa Rica",1994,1,1,TRUE,"#6C88C4"
"157",157,"Costa Rica",1998,1,2,TRUE,"#6C88C4"
"158",158,"Costa Rica",2002,2,4,TRUE,"#6C88C4"
"159",159,"Costa Rica",2006,1,2,TRUE,"#6C88C4"
"160",160,"Costa Rica",2010,1,4,TRUE,"#6C88C4"
"161",161,"Costa Rica",2014,2,10,TRUE,"#6C88C4"
"162",162,"Costa Rica",2018,2,24,TRUE,"#6C88C4"
"163",163,"Republica Dominicana",1978,1,0,FALSE,"#74737A"
"164",164,"Republica Dominicana",1982,1,0,FALSE,"#74737A"
"165",165,"Republica Dominicana",1986,1,0,FALSE,"#74737A"
"166",166,"Republica Dominicana",1990,1,0,FALSE,"#74737A"
"167",167,"Republica Dominicana",1994,1,0,FALSE,"#74737A"
"168",168,"Republica Dominicana",1996,2,0,FALSE,"#74737A"
"169",169,"Republica Dominicana",2000,1,0,FALSE,"#74737A"
"170",170,"Republica Dominicana",2004,1,0,FALSE,"#74737A"
"171",171,"Republica Dominicana",2008,1,0,FALSE,"#74737A"
"172",172,"Republica Dominicana",2012,1,0,FALSE,"#74737A"
"173",173,"Republica Dominicana",2016,1,1,TRUE,"#74737A"
"174",174,"Republica Dominicana",2020,1,0,FALSE,"#74737A"
"175",175,"El Salvador",1984,2,0,FALSE,"#F2D4CC"
"176",176,"El Salvador",1989,1,0,FALSE,"#F2D4CC"
"177",177,"El Salvador",1994,2,0,FALSE,"#F2D4CC"
"178",178,"El Salvador",1999,1,1,TRUE,"#F2D4CC"
"179",179,"El Salvador",2004,1,0,FALSE,"#F2D4CC"
"180",180,"El Salvador",2009,1,0,FALSE,"#F2D4CC"
"181",181,"El Salvador",2014,2,1,TRUE,"#F2D4CC"
"182",182,"El Salvador",2019,1,2,TRUE,"#F2D4CC"
