"","X.2","long","lat","group","order","ccode","subregion","cat_pais","cols_18","cat_pais2","X.1","n_elecciones_con_debates","n_debates_total","n_promedio_debates_eleccion","n_sd_n_debates","ncat_mean_tipoorg_ambito2","n_sd_tipoorg_ambito","ncat_mean_tipoorg_visibilidad","ncat_meanppac","ncat_meancompetencia","n_sd_competencia","n_sd_ppac","ncat_regmedios","ncat_regestado","ncat_regcandidatos","ncat_mean_totreg","n_max_reg","n_sd_reg","n_proporcioninvitados","n_indexausentes","ncat_ano_primer_debate","n_cattipo_educ","n_cattipo_estado","n_cattipo_mmc","n_cattipo_osc","n_cattipo_NA","n_tot_orgs","pr_dico_formato_periodistas","n_edad_practica_absoluta","pr_cattipo_educ","pr_cattipo_estado","pr_cattipo_mmc","pr_cattipo_NA","pr_cattipo_osc","n_interrupciones"
"18",18,295.310791015625,-54.7747039794922,1,18,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"19",19,295.374877929688,-54.7736320495605,1,19,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"20",20,295.418670654297,-54.7527313232422,1,20,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"21",21,295.450836181641,-54.7162132263184,1,21,"Argentina","Isla de los Estados","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"22",22,291.346771240234,-54.8536148071289,2,23,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"23",23,291.352478027344,-54.6278343200684,2,24,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"24",24,291.360229492188,-54.3240203857422,2,25,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"25",25,291.361785888672,-54.0529289245605,2,26,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"26",26,291.363342285156,-53.7888679504395,2,27,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
"27",27,291.364929199219,-53.5154304504395,2,28,"Argentina","Tierra del Fuego","Argentina","#00A5E3","Argentina",1,2,4,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0
